A,B,C,D,E,F,G,J,K,price
98.4,A,I,4,7736.7,6888.0,730.62,44,1308,339480
92.25,A,G,5,7650.6,6765.0,722.01,149,413,339480
98.4,B,G,5,7749.0,7257.0,725.7,18,1523,339480
72.57,A,E,9,7626.0,6765.0,661.74,64,1603,339603
98.4,A,F,3,7552.2,7011.0,733.08,3,238,339603
110.7,B,I,10,7749.0,7134.0,757.6800000000001,-62,1015,339603
89.78999999999999,A,F,10,7699.8,6888.0,709.7099999999999,113,1423,339726
98.4,B,F,3,7589.1,7134.0,735.5400000000001,-35,1671,339726
87.33,A,G,10,7675.2,6642.0,703.56,145,1301,339726
86.1,A,E,10,7466.1,7134.0,704.7900000000001,121,1501,339726
98.4,A,F,3,7367.7,7257.0,739.23,155,126,339726
87.33,A,D,3,7662.9,6888.0,704.7900000000001,-40,1715,339726
91.02,A,E,5,7662.9,6642.0,713.4,-35,694,339726
86.1,B,F,10,7576.8,7380.0,694.95,58,807,339726
111.93,B,H,5,7552.2,6888.0,749.0699999999999,109,503,339849
75.03,D,D,9,7330.8,7011.0,683.88,63,146,339849
111.93,D,H,3,7921.200000000001,7011.0,751.5300000000001,76,1201,339849
111.93,D,H,3,8081.1,7380.0,741.69,135,1015,339849
94.71000000000001,A,H,10,7626.0,6888.0,724.4699999999999,130,161,339849
87.33,A,D,5,7613.7,7257.0,699.87,90,135,339972
86.1,D,E,10,7699.8,7380.0,691.26,96,1295,340095
87.33,D,F,4,7392.3,7626.0,706.02,114,706,340095
87.33,B,F,4,7601.4,7257.0,699.87,-53,1485,340095
93.48,A,H,5,7527.6,7011.0,723.24,9,725,340095
78.72,A,G,22,7613.7,6888.0,680.19,94,503,340218
87.33,B,G,10,7490.7,7011.0,710.94,159,1234,340218
87.33,B,G,10,7355.4,6888.0,724.4699999999999,108,872,340218
86.1,D,D,10,7601.4,6765.0,698.64,-11,1137,340341
86.1,D,F,4,7380.0,7011.0,713.4,-69,1189,340341
87.33,A,D,3,7576.8,6765.0,706.02,102,387,340341
86.1,C,H,9,7638.3,7872.0,691.26,118,326,340341
87.33,D,G,4,7785.9,7257.0,678.9599999999999,93,1826,340464
89.78999999999999,D,D,5,7404.6,6888.0,717.09,88,1286,340464
86.1,D,D,5,7515.3,7134.0,696.1800000000001,58,1474,340464
86.1,A,E,5,7490.7,7011.0,704.7900000000001,148,98,340464
87.33,B,D,3,7589.1,7257.0,702.33,15,1569,340464
91.02,A,I,5,7539.9,6888.0,715.86,-82,931,340587
87.33,B,D,10,7687.5,7380.0,694.95,147,752,340710
89.78999999999999,B,G,10,7552.2,7257.0,717.09,12,1667,340710
93.48,D,F,5,7736.7,7011.0,712.17,-73,437,340710
93.48,A,D,3,7675.2,7011.0,710.94,6,125,340710
87.33,A,F,5,7466.1,6888.0,709.7099999999999,98,890,340710
89.78999999999999,B,G,10,7466.1,7134.0,722.01,-8,297,340710
89.78999999999999,B,G,4,7564.5,7134.0,712.17,74,632,340710
89.78999999999999,A,D,3,7367.7,7011.0,728.16,-5,772,340710
89.78999999999999,B,G,10,7281.6,7257.0,728.16,49,1064,340710
88.56,D,H,9,7416.9,6888.0,714.63,19,199,340833
89.78999999999999,D,F,5,7589.1,7380.0,712.17,63,983,340833
97.17,A,F,3,7613.7,6765.0,734.31,-7,483,340833
89.78999999999999,D,H,22,7429.2,7257.0,717.09,107,1378,340956
71.33999999999999,A,G,22,7564.5,6765.0,662.9699999999999,-44,1186,340956
71.33999999999999,A,F,22,7589.1,6888.0,655.59,131,1309,340956
87.33,C,E,10,7281.6,7503.0,713.4,62,1274,340956
92.25,A,D,3,7539.9,6888.0,719.55,-48,247,341079
86.1,B,D,10,7134.0,7626.0,722.01,114,1499,341079
143.91,D,J,41,7404.6,7503.0,840.09,118,1590,341202
86.1,A,E,5,7712.1,6765.0,698.64,62,88,341202
102.08999999999999,C,I,10,7945.799999999999,6642.0,719.55,-80,1288,341202
91.02,D,F,10,7539.9,7503.0,713.4,46,1606,341325
88.56,D,G,10,7835.1,6937.2,691.26,-73,1411,341448
87.33,B,E,10,7712.1,7134.0,706.02,83,1806,341448
87.33,A,E,10,7650.6,7011.0,712.17,93,490,341448
66.42,A,E,9,7576.8,6888.0,645.75,-83,1747,341448
66.42,A,E,9,7564.5,7011.0,644.52,88,1778,341448
88.56,A,G,5,7466.1,6888.0,712.17,38,868,341448
88.56,C,G,10,7343.1,7441.5,713.4,57,1315,341448
86.1,D,D,4,7712.1,7134.0,696.1800000000001,-17,1018,341571
87.33,B,F,10,7638.3,7134.0,697.41,-34,1420,341571
87.33,D,F,10,7724.4,7011.0,693.7199999999999,86,1617,341571
87.33,C,F,10,7109.4,7380.0,722.01,60,407,341571
86.1,B,E,10,7515.3,7380.0,702.33,141,599,341571
86.1,B,E,5,7380.0,7257.0,712.17,149,736,341571
86.1,B,E,5,7712.1,7257.0,697.41,-40,832,341571
86.1,B,E,5,7503.0,7011.0,704.7900000000001,37,1532,341571
86.1,B,E,5,7503.0,7134.0,710.94,-88,1474,341571
86.1,A,E,5,7552.2,7011.0,708.48,112,1671,341571
88.56,B,F,5,7601.4,7503.0,715.86,68,943,341571
86.1,D,E,5,7367.7,7749.0,708.48,78,1396,341571
86.1,B,E,5,7539.9,7134.0,702.33,-34,757,341571
86.1,B,E,5,7441.5,7134.0,709.7099999999999,-18,1193,341571
86.1,C,E,10,7884.299999999999,7257.0,693.7199999999999,116,1114,341571
86.1,D,E,5,7773.6,7380.0,688.8,69,235,341571
63.96,A,F,22,7539.9,6765.0,638.37,151,1602,341694
89.78999999999999,D,H,10,7478.4,6888.0,715.86,104,446,341817
91.02,A,E,5,7589.1,6888.0,718.3199999999999,36,295,341817
86.1,D,F,10,7822.8,7011.0,690.0300000000001,81,1062,341940
94.71000000000001,B,G,10,7527.6,7134.0,725.7,-67,1429,341940
87.33,A,F,10,7638.3,6642.0,698.64,153,560,341940
91.02,A,G,4,7564.5,6765.0,714.63,-73,1557,341940
86.1,A,G,4,7552.2,7257.0,693.7199999999999,64,507,341940
94.71000000000001,A,H,5,7650.6,6888.0,717.09,44,574,342063
95.94,A,H,5,7527.6,6888.0,728.16,59,1595,342063
88.56,D,H,4,7453.8,7749.0,717.09,37,953,342186
65.19,D,D,9,7072.5,7872.0,656.8199999999999,-30,1373,342186
86.1,C,E,4,7035.6,7626.0,714.63,-29,1033,342186
86.1,B,E,4,7736.7,7380.0,691.26,100,961,342186
92.25,D,D,3,7761.3,7134.0,710.94,139,409,342186
88.56,A,D,5,7478.4,7011.0,708.48,42,376,342186
88.56,B,D,5,7712.1,7257.0,704.7900000000001,112,1127,342186
86.1,B,D,5,7724.4,7380.0,698.64,-81,1000,342186
103.32,D,G,5,6777.3,8241.0,785.9699999999999,30,359,342186
92.25,B,F,5,7552.2,7257.0,723.24,145,129,342186
88.56,D,F,10,7749.0,6642.0,699.87,161,955,342432
97.17,D,H,4,7835.1,6888.0,719.55,58,1740,342432
88.56,D,F,10,7822.8,7134.0,696.1800000000001,51,881,342801
62.730000000000004,A,F,22,7626.0,7011.0,628.5300000000001,-81,1772,342801
78.72,A,D,4,7564.5,6888.0,681.42,18,706,342801
86.1,D,H,22,7441.5,7380.0,706.02,-90,180,342924
102.08999999999999,D,I,4,7515.3,7380.0,746.61,-83,1303,342924
93.48,A,I,9,7601.4,6888.0,719.55,59,882,342924
87.33,A,F,5,7687.5,6765.0,702.33,-14,1520,342924
124.23,B,H,3,7712.1,7257.0,776.13,137,366,342924
94.71000000000001,C,F,5,7896.6,6396.0,714.63,149,489,343047
93.48,C,E,5,7835.1,6642.0,708.48,119,1763,343047
93.48,B,E,5,7601.4,7134.0,715.86,-24,1117,343047
129.15,D,J,3,7773.6,6888.0,798.27,-73,1789,343047
86.1,A,E,5,7576.8,6888.0,703.56,140,1524,343047
99.63000000000001,C,G,3,7503.0,7503.0,730.62,52,608,343047
77.49,B,E,9,7638.3,7011.0,674.0400000000001,-66,274,343047
77.49,B,E,22,7490.7,7380.0,682.65,74,176,343047
94.71000000000001,B,H,4,7539.9,7380.0,725.7,-18,1732,343047
129.15,D,J,3,8093.4,7257.0,788.4300000000001,101,1289,343047
78.72,A,G,19,7539.9,6888.0,681.42,-68,253,343170
93.48,B,I,22,7232.4,7257.0,738.0,-10,1787,343170
87.33,B,F,4,7392.3,7626.0,709.7099999999999,52,1778,343170
87.33,B,F,4,7601.4,7257.0,704.7900000000001,-5,1562,343170
107.01,D,I,5,7822.8,6863.4,746.61,86,1803,343293
89.78999999999999,A,E,5,7650.6,6888.0,706.02,-9,1287,343293
87.33,B,E,5,7281.6,7257.0,717.09,14,1013,343416
87.33,B,E,5,7601.4,7257.0,701.1,114,554,343416
86.1,B,F,4,7638.3,7380.0,702.33,130,541,343416
86.1,B,F,4,7466.1,7380.0,710.94,-78,455,343416
93.48,B,H,9,7330.8,7011.0,726.9300000000001,62,1198,343416
86.1,A,F,4,7650.6,6888.0,704.7900000000001,57,200,343416
97.17,D,G,5,7453.8,7011.0,735.5400000000001,116,1395,343539
86.1,C,E,10,7884.299999999999,6765.0,688.8,131,432,343539
93.48,A,I,10,7539.9,6888.0,722.01,-68,1731,343539
89.78999999999999,A,H,10,7712.1,6765.0,703.56,2,1384,343539
97.17,D,E,5,7773.6,6888.0,726.9300000000001,97,1038,343662
99.63000000000001,B,I,9,7613.7,7380.0,726.9300000000001,73,1516,343785
99.63000000000001,A,F,3,7699.8,6765.0,728.16,127,1644,343785
88.56,C,F,4,7466.1,7380.0,706.02,-31,867,343785
88.56,B,D,3,7626.0,7380.0,704.7900000000001,-80,1066,343785
88.56,B,I,19,7749.0,7011.0,703.56,55,767,343785
99.63000000000001,B,H,10,7134.0,7257.0,758.91,79,981,343785
99.63000000000001,D,E,5,7416.9,7380.0,746.61,122,425,344031
87.33,B,D,5,7712.1,7380.0,697.41,-15,1322,344031
87.33,B,D,5,7539.9,7134.0,704.7900000000001,-55,1311,344031
87.33,B,D,5,7576.8,7380.0,706.02,118,346,344031
70.11,A,F,9,7613.7,6765.0,656.8199999999999,-37,1446,344031
88.56,A,G,10,7613.7,7134.0,703.56,82,294,344031
91.02,A,H,4,7576.8,6888.0,714.63,83,89,344031
86.1,D,G,22,7232.4,8118.0,714.63,-41,484,344031
98.4,B,F,3,7503.0,7011.0,741.69,39,853,344031
124.23,D,E,3,8290.2,7380.0,761.37,70,1201,344031
98.4,D,H,10,7798.2,7380.0,728.16,84,1208,344031
102.08999999999999,D,E,3,7134.0,7626.0,761.37,-78,1348,344277
100.86,A,F,3,7675.2,6642.0,734.31,76,123,344277
95.94,A,D,5,7613.7,7011.0,726.9300000000001,-25,282,344277
86.1,B,E,4,7650.6,7134.0,688.8,-14,330,344400
110.7,D,I,3,7539.9,6888.0,758.91,-83,1790,344400
102.08999999999999,A,G,5,7662.9,7011.0,736.77,104,1127,344400
102.08999999999999,A,G,5,7601.4,7011.0,741.69,-47,1800,344400
102.08999999999999,D,H,5,7687.5,7257.0,731.85,-66,133,344400
91.02,B,G,4,7736.7,7380.0,706.02,65,383,344400
75.03,A,G,19,7662.9,6888.0,667.89,66,1087,344400
89.78999999999999,A,F,10,7687.5,6765.0,713.4,154,889,344523
89.78999999999999,B,F,10,7712.1,7134.0,708.48,111,1642,344523
92.25,A,H,5,7429.2,7011.0,729.39,-84,757,344523
87.33,B,F,10,7638.3,7134.0,701.1,142,1840,344523
87.33,C,F,10,7109.4,7380.0,725.7,36,1296,344523
87.33,C,F,10,7847.4,7134.0,693.7199999999999,97,806,344523
87.33,B,F,10,7724.4,7011.0,699.87,-72,142,344523
127.92,B,G,41,7650.6,7134.0,794.58,24,1633,344523
123.0,B,J,3,7662.9,7134.0,793.35,160,1231,344523
107.01,D,G,3,7367.7,7134.0,761.37,-82,1214,344646
65.19,A,F,19,7613.7,6642.0,642.06,-21,1455,344646
86.1,D,F,10,7736.7,7134.0,692.49,-26,422,344769
87.33,A,G,10,7539.9,6888.0,707.25,41,571,344769
86.1,C,G,4,8007.299999999999,7134.0,683.88,11,257,344769
87.33,B,F,10,7699.8,7134.0,701.1,-22,971,344769
87.33,B,F,10,7134.0,7626.0,719.55,66,1796,344769
87.33,B,G,4,7675.2,7503.0,701.1,89,654,344769
95.94,B,G,10,7478.4,7134.0,741.69,35,459,344769
87.33,D,G,4,7810.5,6765.0,696.1800000000001,161,1445,344769
111.93,A,D,3,7650.6,7011.0,763.83,-72,1802,344769
87.33,D,E,10,7847.4,7134.0,691.26,-37,1527,344892
87.33,D,E,10,7872.0,7011.0,696.1800000000001,12,1710,344892
88.56,D,F,4,7650.6,7134.0,707.25,127,1436,344892
100.86,A,H,10,7564.5,6888.0,739.23,-45,392,344892
86.1,A,D,5,7503.0,7257.0,698.64,96,1446,344892
88.56,A,D,5,7650.6,6888.0,706.02,-44,1323,344892
110.7,D,I,5,8277.9,7257.0,729.39,50,883,344892
91.02,B,F,10,7613.7,6888.0,713.4,132,1641,345015
89.78999999999999,A,E,3,7601.4,7134.0,709.7099999999999,-7,690,345015
89.78999999999999,B,F,10,7687.5,7011.0,707.25,7,1454,345015
88.56,A,G,10,7724.4,6888.0,706.02,-45,1090,345015
91.02,D,F,10,7515.3,8364.0,715.86,-15,209,345015
100.86,C,G,10,7872.0,7011.0,728.16,94,1093,345015
99.63000000000001,D,G,5,7687.5,7380.0,724.4699999999999,72,639,345138
92.25,D,H,22,7453.8,7134.0,719.55,133,1670,345138
86.1,A,F,5,7576.8,6765.0,703.56,146,484,345138
87.33,D,F,4,7650.6,7134.0,696.1800000000001,6,758,345261
87.33,D,F,4,7380.0,7011.0,718.3199999999999,138,332,345261
98.4,D,H,10,7724.4,7011.0,722.01,29,624,345384
86.1,D,F,4,7626.0,7011.0,693.7199999999999,153,918,345384
123.0,D,G,41,8167.200000000001,7257.0,757.6800000000001,-53,1683,345384
92.25,D,G,10,7798.2,6888.0,710.94,-60,358,345384
89.78999999999999,D,D,5,7761.3,7011.0,706.02,11,204,345384
99.63000000000001,D,F,5,7761.3,7257.0,719.55,5,738,345507
99.63000000000001,B,D,3,7281.6,7011.0,756.45,-22,585,345507
87.33,B,F,5,7466.1,6642.0,718.3199999999999,28,1123,345507
147.6,D,F,41,7945.799999999999,6888.0,827.7900000000001,-39,1156,345507
86.1,D,F,4,7601.4,6888.0,692.49,-16,316,345630
86.1,D,F,4,7367.7,7380.0,709.7099999999999,48,1355,345630
91.02,A,D,3,7589.1,6765.0,714.63,161,1639,345630
86.1,C,F,4,7724.4,7503.0,685.11,22,842,345630
92.25,D,F,5,7798.2,7134.0,703.56,93,398,345753
102.08999999999999,D,D,5,7810.5,6642.0,735.5400000000001,-38,427,345753
123.0,D,J,10,8081.1,7257.0,755.2199999999999,15,1810,345753
86.1,D,G,4,7749.0,7380.0,685.11,22,1701,345876
86.1,D,F,10,7318.5,7134.0,707.25,-13,1656,345876
86.1,C,E,5,7810.5,7257.0,675.27,148,1212,345876
86.1,D,F,10,7589.1,7134.0,692.49,10,1696,345876
39.36,B,I,5,7712.1,7134.0,537.51,138,1297,68142
39.36,B,I,5,7724.4,7134.0,539.9699999999999,18,224,68142
39.36,A,I,5,7675.2,7011.0,537.51,-26,1386,68142
39.36,B,I,5,7503.0,7257.0,539.9699999999999,33,1534,68142
39.36,A,I,5,7466.1,7011.0,549.81,151,652,68142
36.9,B,H,5,7736.7,7134.0,526.44,121,1660,68142
36.9,D,H,5,7785.9,6888.0,527.67,155,1560,68142
36.9,C,H,5,7847.4,6765.0,523.98,93,369,68142
36.9,A,H,5,7736.7,7011.0,525.2099999999999,16,1301,68142
36.9,D,H,5,7798.2,7380.0,522.75,-48,1557,68142
40.59,A,H,3,7552.2,6888.0,596.55,72,303,68142
35.669999999999995,D,E,4,7613.7,6765.0,526.44,-48,778,68265
35.669999999999995,D,E,4,7675.2,6765.0,516.6,109,1096,68265
38.13,D,F,5,7601.4,7134.0,531.36,4,1128,68265
41.82,A,H,10,7564.5,6888.0,549.81,-69,238,68265
41.82,A,I,4,7601.4,6765.0,551.0400000000001,72,1062,68265
36.9,A,G,4,7662.9,6888.0,527.67,61,1275,68265
35.669999999999995,A,F,4,7576.8,6888.0,523.98,92,560,68265
43.05,A,G,5,7453.8,6888.0,560.88,-44,428,68265
52.89,D,E,41,7183.2,7626.0,607.62,63,608,68265
44.28,A,I,10,7613.7,6888.0,558.42,-50,1314,68388
36.9,A,G,10,7626.0,6888.0,526.44,135,756,68388
31.98,A,E,4,7564.5,7011.0,503.07,117,955,68388
86.1,D,F,10,7662.9,7134.0,693.7199999999999,-5,965,345876
86.1,D,F,10,7490.7,7503.0,696.1800000000001,90,1436,345876
87.33,A,D,5,7675.2,7011.0,699.87,-56,1785,345876
89.78999999999999,B,E,10,7207.8,7380.0,728.16,51,1839,345876
62.730000000000004,A,F,22,7626.0,7011.0,633.45,124,1738,345876
111.93,B,G,3,7355.4,7134.0,774.9,-44,248,345999
103.32,D,E,5,7798.2,6765.0,738.0,48,1527,345999
111.93,C,I,10,7908.9,7134.0,749.0699999999999,4,464,345999
93.48,A,E,5,7589.1,7011.0,723.24,63,552,346122
92.25,B,E,5,7515.3,7257.0,720.7800000000001,-15,382,346122
67.65,D,D,22,7564.5,6888.0,643.2900000000001,11,96,346245
93.48,D,F,3,7195.5,7626.0,729.39,-60,241,346245
86.1,A,H,5,7429.2,6888.0,707.25,21,1157,346245
86.1,A,H,5,7564.5,6765.0,704.7900000000001,149,100,346245
86.1,A,H,5,7552.2,6888.0,703.56,85,882,346245
110.7,D,J,10,7995.0,6888.0,747.84,52,1296,346245
109.47,B,H,3,7404.6,7257.0,769.98,19,713,346245
88.56,B,E,10,7170.9,7134.0,736.77,-13,1834,346245
118.08,D,E,3,6531.3,7749.0,827.7900000000001,42,1526,346245
125.46000000000001,B,G,41,7416.9,7134.0,805.65,125,1774,346245
75.03,A,G,9,7392.3,7011.0,678.9599999999999,113,502,346368
87.33,C,D,4,7798.2,6765.0,690.0300000000001,70,301,346368
107.01,A,H,3,7712.1,6888.0,757.6800000000001,48,428,346368
102.08999999999999,A,H,5,7687.5,6765.0,742.92,100,583,346368
87.33,B,E,5,7539.9,6888.0,710.94,-18,1079,346491
87.33,A,I,9,7404.6,6888.0,718.3199999999999,73,1022,346491
87.33,A,E,10,7712.1,7011.0,696.1800000000001,146,1068,346491
87.33,B,E,10,7662.9,7134.0,699.87,-68,1772,346491
77.49,A,F,9,7564.5,6888.0,674.0400000000001,-49,1099,346491
87.33,B,E,5,7601.4,7257.0,707.25,29,587,346491
87.33,A,E,5,7539.9,6765.0,709.7099999999999,-25,136,346491
87.33,B,E,5,7552.2,7134.0,709.7099999999999,6,1572,346491
110.7,A,J,10,7724.4,6765.0,762.6,-17,358,346491
87.33,C,E,5,7724.4,7872.0,688.8,8,1605,346491
86.1,B,E,10,7675.2,7503.0,696.1800000000001,143,986,346614
86.1,B,E,10,7293.9,7380.0,710.94,138,567,346614
123.0,B,H,41,7539.9,7380.0,790.89,-81,652,346614
86.1,A,E,4,7736.7,7011.0,696.1800000000001,111,1313,346614
86.1,B,E,4,7330.8,7011.0,726.9300000000001,158,838,346614
86.1,B,F,10,7601.4,7380.0,699.87,161,966,346614
123.0,D,H,3,8031.9,7626.0,779.8199999999999,-26,1622,346614
88.56,D,G,4,7847.4,7134.0,693.7199999999999,73,1058,346737
88.56,A,H,4,7662.9,6888.0,704.7900000000001,-56,989,346737
86.1,C,F,4,7343.1,7749.0,708.48,14,213,346737
105.78,C,F,3,7908.9,7380.0,734.31,-71,344,346737
87.33,A,G,4,7736.7,7134.0,696.1800000000001,134,1188,346860
92.25,A,E,5,7626.0,7011.0,713.4,96,1006,346983
89.78999999999999,B,E,10,7576.8,7257.0,709.7099999999999,-23,875,346983
89.78999999999999,B,E,5,7539.9,7134.0,717.09,100,411,346983
89.78999999999999,C,E,5,7822.8,7011.0,703.56,84,1221,346983
89.78999999999999,B,E,5,7330.8,7503.0,728.16,-66,924,346983
89.78999999999999,B,E,5,7650.6,7257.0,709.7099999999999,-69,603,346983
89.78999999999999,B,D,5,7589.1,6765.0,718.3199999999999,124,246,346983
86.1,B,E,4,7478.4,7380.0,706.02,100,78,347106
88.56,B,E,10,7416.9,7257.0,718.3199999999999,39,1415,347106
86.1,B,E,10,7404.6,7380.0,704.7900000000001,51,1424,347106
89.78999999999999,A,F,5,7638.3,6765.0,707.25,-61,542,347106
87.33,B,D,5,7712.1,7380.0,702.33,106,1138,347106
87.33,B,D,5,7539.9,7134.0,707.25,89,654,347106
86.1,B,D,5,7404.6,7380.0,715.86,-55,198,347106
86.1,A,D,5,7466.1,6888.0,707.25,-64,624,347106
110.7,C,J,10,7872.0,7503.0,742.92,-88,219,347106
87.33,A,D,5,7404.6,6888.0,720.7800000000001,91,1353,347106
86.1,B,E,10,7564.5,7257.0,704.7900000000001,-83,1842,347106
86.1,B,E,10,7699.8,6888.0,702.33,15,850,347106
86.1,C,E,5,7552.2,7872.0,702.33,102,1294,347106
86.1,A,D,5,7601.4,6888.0,704.7900000000001,138,1040,347106
86.1,B,F,10,7453.8,7134.0,713.4,96,1364,347106
86.1,A,D,5,7552.2,6642.0,707.25,160,751,347106
97.17,D,D,3,7724.4,7257.0,720.7800000000001,-72,1015,347229
110.7,C,I,5,7847.4,7011.0,745.38,24,1752,347229
87.33,B,E,10,7662.9,7134.0,702.33,-77,1518,347229
75.03,A,E,9,7539.9,6642.0,677.73,73,1608,347229
110.7,D,H,3,8093.4,6642.0,744.15,-76,1203,347229
87.33,A,E,5,7441.5,6888.0,709.7099999999999,67,1779,347229
87.33,B,D,10,7527.6,7257.0,706.02,-3,435,347352
94.71000000000001,A,I,9,7638.3,7011.0,718.3199999999999,60,1518,347352
91.02,C,E,4,7761.3,7134.0,704.7900000000001,-67,1367,347352
100.86,B,E,3,7478.4,7380.0,744.15,100,1577,347352
87.33,B,G,4,7650.6,7257.0,704.7900000000001,-3,1446,347475
89.78999999999999,D,G,4,7626.0,7011.0,707.25,111,340,347475
102.08999999999999,B,H,5,7687.5,7257.0,740.4599999999999,147,1443,347475
143.91,B,J,41,7404.6,7503.0,848.7,-14,1299,347475
