area,rooms,floor,elev,parking,type,price
89,3,10,0,2,3,2903000
231,11,11,1,0,2,3192000
67,2,12,0,1,2,1420000
238,11,3,1,0,3,4537000
158,7,4,0,0,2,2231000
218,10,2,1,1,1,2610000
78,3,6,0,2,1,978000
211,10,4,1,0,3,4206000
163,7,1,1,2,1,2063000
57,2,3,0,0,1,707000
116,5,7,0,1,2,1871000
257,12,3,0,0,3,4516000
192,9,5,0,2,3,4006000
162,7,2,0,1,2,2499000
244,11,4,0,0,2,3001000
194,9,4,1,2,1,2427000
146,6,4,1,2,1,1842000
124,5,12,0,0,3,3204000
41,1,5,1,2,1,906000
48,1,11,0,0,3,2343000
45,1,4,1,0,2,1337000
64,2,7,1,0,3,2639000
142,6,9,0,2,3,3437000
57,2,11,1,1,2,1540000
247,11,5,0,0,2,3043000
227,10,8,1,0,2,3160000
260,12,4,0,1,2,3337000
99,4,5,1,0,1,1241000
135,6,9,1,1,2,2370000
67,2,3,0,0,3,2559000
240,11,8,0,0,3,4201000
40,1,11,0,1,2,1016000
85,3,12,1,2,1,1294000
238,11,9,1,1,3,4675000
65,2,6,0,1,2,1354000
194,9,2,0,1,3,4012000
230,11,11,0,2,2,3148000
165,7,9,0,2,2,2463000
67,2,3,0,2,2,1529000
139,6,10,1,0,1,1717000
72,3,4,0,1,3,2680000
123,5,6,1,1,3,3315000
188,8,9,1,0,3,3865000
178,8,8,1,2,1,2316000
248,11,3,0,0,2,3180000
220,10,3,1,2,2,3270000
94,4,6,1,0,2,1879000
213,10,8,1,0,1,2465000
217,10,4,1,0,2,3039000
41,1,3,0,2,2,1334000
107,4,12,1,1,2,2025000
116,5,1,1,2,1,1595000
189,8,3,0,2,2,2826000
259,12,12,0,0,2,3359000
256,12,8,0,2,2,3268000
146,6,2,1,2,2,2461000
161,7,10,1,2,3,3826000
139,6,12,0,2,3,3394000
80,3,7,1,1,1,1170000
205,9,3,0,2,2,3069000
47,1,1,0,1,2,1334000
217,10,5,0,1,1,2288000
84,3,8,0,2,2,1527000
157,7,7,0,0,1,1662000
249,11,11,0,2,2,3328000
182,8,2,1,2,1,2219000
235,11,10,0,1,1,2524000
129,5,9,1,1,3,3451000
102,4,4,1,1,3,3226000
127,5,7,1,1,3,3336000
128,5,3,1,1,2,2217000
124,5,2,0,0,2,1992000
49,1,5,1,2,1,937000
107,4,4,0,2,2,1862000
145,6,9,1,0,3,3480000
95,4,5,0,0,3,2733000
176,8,9,0,1,1,1816000
155,7,8,1,1,1,1947000
239,11,9,0,0,2,3057000
122,5,1,1,1,1,1558000
206,9,7,0,1,3,3943000
136,6,11,0,0,3,3187000
65,2,1,0,0,2,1301000
106,4,2,0,2,1,1389000
194,9,6,0,0,1,1999000
229,10,3,1,0,1,2519000
152,7,4,1,1,2,2420000
117,5,3,0,0,1,1294000
257,12,1,0,0,2,3350000
253,12,1,1,0,3,4554000
132,6,3,1,1,1,1763000
160,7,1,0,2,3,3742000
213,10,6,0,1,1,2246000
148,6,12,1,0,3,3531000
175,8,4,1,0,2,2697000
182,8,8,1,1,2,2742000
252,12,12,0,0,3,4398000
94,4,9,1,1,1,1351000
114,5,11,0,2,3,3299000
47,1,6,0,1,2,1187000
113,5,7,0,2,3,3100000
127,5,3,0,2,1,1466000
147,6,8,0,1,3,3385000
50,2,1,0,2,1,937000
178,8,4,0,1,3,3682000
110,5,5,1,1,2,2110000
51,2,10,0,1,1,600000
59,2,9,0,1,2,1457000
245,11,8,0,0,1,2513000
80,3,4,0,0,1,905000
236,11,6,0,2,2,3320000
168,7,11,0,2,3,3739000
68,2,4,0,2,2,1398000
107,4,1,0,0,1,1184000
84,3,11,1,2,3,3106000
236,11,3,1,1,3,4503000
89,3,7,1,1,3,3008000
232,11,7,0,0,3,4162000
140,6,3,0,2,2,2391000
215,10,5,1,0,3,4235000
52,2,2,0,2,1,868000
155,7,2,1,1,2,2516000
255,12,1,1,0,2,3393000
89,3,6,0,1,3,2662000
252,12,6,1,0,2,3420000
73,3,9,0,1,1,964000
140,6,6,0,2,3,3358000
85,3,2,0,1,2,1686000
104,4,1,0,2,2,2050000
138,6,2,1,1,3,3532000
56,2,7,0,1,3,2504000
256,12,4,1,1,1,3003000
215,10,7,0,1,3,4120000
179,8,9,0,2,3,3916000
161,7,2,1,1,1,1903000
191,9,8,1,0,1,2248000
67,2,1,1,1,3,2821000
118,5,2,1,2,2,2207000
123,5,8,1,0,3,3379000
215,10,10,1,0,1,2482000
87,3,10,0,1,1,1020000
190,9,1,0,1,3,3974000
67,2,6,1,0,2,1471000
260,12,2,1,2,2,3581000
47,1,5,0,1,1,545000
43,1,2,0,1,3,2435000
55,2,10,0,2,2,1490000
229,10,7,1,2,2,3299000
199,9,11,1,2,2,3159000
216,10,7,0,2,1,2366000
132,6,1,1,0,2,2219000
225,10,9,0,0,3,4019000
179,8,7,0,1,3,3759000
86,3,4,1,2,2,1870000
171,8,8,1,1,1,2019000
172,8,8,0,2,2,2567000
114,5,6,1,0,2,2069000
260,12,2,1,2,1,3141000
259,12,12,0,1,3,4402000
116,5,1,1,1,1,1437000
75,3,10,0,2,2,1649000
238,11,3,0,0,2,3054000
63,2,3,0,0,1,775000
40,1,1,1,0,1,738000
106,4,9,0,2,3,3029000
101,4,7,0,0,1,974000
189,8,11,1,2,3,4168000
219,10,10,0,2,2,3017000
225,10,8,0,2,2,3079000
50,2,11,0,0,3,2337000
208,9,4,1,1,3,4173000
257,12,1,0,0,3,4550000
204,9,6,0,1,2,2710000
112,5,1,1,2,1,1512000
244,11,8,1,2,3,4769000
123,5,3,1,1,1,1563000
173,8,5,1,2,1,2249000
255,12,4,0,2,3,4588000
139,6,3,1,2,1,1813000
250,12,4,0,0,1,2462000
86,3,12,0,2,1,1143000
254,12,7,0,1,2,3263000
125,5,9,0,2,3,3258000
166,7,12,1,2,2,2721000
151,7,2,0,1,2,2499000
116,5,12,1,1,1,1594000
75,3,8,1,0,1,1015000
138,6,9,0,0,1,1409000
210,10,1,0,2,1,2406000
93,4,1,1,0,1,1285000
152,7,7,0,2,2,2459000
52,2,9,1,1,2,1505000
133,6,2,0,1,2,2136000
191,9,4,0,0,2,2494000
195,9,9,0,2,3,3966000
45,1,4,1,2,2,1480000
203,9,4,0,2,2,2788000
157,7,7,0,1,1,1704000
42,1,10,0,2,2,1161000
209,9,6,1,1,3,4211000
79,3,11,1,0,2,1656000
52,2,7,0,2,3,2485000
41,1,6,1,1,1,853000
44,1,11,0,2,2,1180000
77,3,12,0,2,3,2859000
49,1,12,0,2,2,1276000
101,4,12,0,2,2,1873000
129,5,2,1,2,1,1773000
92,4,8,0,1,3,2850000
217,10,8,1,1,1,2568000
153,7,12,1,0,1,1960000
67,2,9,1,1,3,2768000
158,7,11,0,1,1,1751000
76,3,3,0,2,2,1699000
56,2,3,0,0,3,2562000
110,5,10,1,0,3,3261000
83,3,3,0,0,3,2732000
98,4,6,0,0,2,1513000
61,2,5,0,2,2,1406000
169,7,11,0,0,1,1658000
71,3,6,0,2,2,1679000
153,7,2,1,0,1,1774000
122,5,7,1,2,2,2202000
176,8,11,0,1,1,1934000
97,4,2,1,2,3,3302000
89,3,2,0,2,1,1141000
212,10,6,0,0,1,2236000
203,9,4,1,1,2,2882000
171,8,12,0,0,3,3572000
225,10,7,1,1,3,4406000
254,12,12,1,0,1,2856000
141,6,9,0,0,2,2022000
93,4,9,1,2,2,2071000
76,3,4,0,2,3,2806000
234,11,2,1,0,1,2568000
124,5,12,0,2,2,2214000
156,7,7,0,0,1,1715000
156,7,11,0,1,3,3474000
82,3,5,1,1,1,1167000
253,12,9,0,2,2,3385000
225,10,5,1,0,1,2561000
227,10,5,1,0,3,4376000
153,7,3,0,1,2,2488000
61,2,1,0,0,3,2629000
206,9,1,0,1,1,2298000
100,4,12,0,0,2,1571000
54,2,10,1,0,2,1425000
114,5,2,0,0,2,1990000
215,10,11,1,1,2,3107000
133,6,2,1,2,3,3652000
258,12,2,1,0,2,3490000
47,1,10,0,1,2,1206000
84,3,9,0,1,1,951000
148,6,3,1,0,2,2270000
128,5,7,1,0,3,3226000
245,11,4,1,2,1,2872000
58,2,5,1,1,2,1609000
165,7,7,1,1,2,2645000
232,11,11,0,0,2,3002000
194,9,4,1,0,1,2252000
260,12,11,1,2,3,4851000
226,10,11,0,2,3,4348000
254,12,6,0,1,3,4566000
119,5,8,1,2,1,1776000
157,7,10,1,1,1,1944000
190,9,5,1,2,2,3050000
202,9,6,0,1,1,2141000
137,6,12,1,0,2,2239000
96,4,2,0,0,1,1137000
57,2,12,0,1,3,2621000
230,11,8,0,0,2,2952000
68,2,3,0,2,2,1613000
58,2,1,1,1,3,2694000
58,2,11,1,0,1,860000
224,10,7,1,1,2,3177000
213,10,9,0,2,2,2960000
54,2,5,0,0,2,1184000
96,4,6,1,2,2,2079000
85,3,3,1,2,3,3070000
163,7,2,0,2,2,2632000
175,8,8,1,0,1,2081000
215,10,9,0,1,1,2306000
204,9,3,0,0,2,2850000
98,4,9,0,2,1,1232000
133,6,5,0,0,2,1968000
204,9,9,0,1,3,3925000
122,5,12,1,1,1,1600000
92,4,8,1,0,2,1881000
167,7,2,1,0,2,2490000
143,6,10,0,2,1,1590000
40,1,8,0,1,1,486000
169,7,3,1,1,1,2074000
127,5,7,0,1,2,1966000
124,5,7,1,2,1,1662000
163,7,8,1,0,1,1820000
65,2,7,1,0,2,1481000
229,10,1,0,0,1,2359000
153,7,12,1,0,1,1873000
237,11,4,0,0,1,2382000
134,6,5,0,1,1,1483000
72,3,7,0,0,1,826000
69,2,12,0,0,3,2365000
113,5,5,1,0,3,3204000
166,7,3,1,2,3,3985000
75,3,12,1,0,2,1749000
246,11,9,1,1,3,4594000
116,5,5,0,2,3,3178000
207,9,9,0,0,3,3809000
78,3,10,1,1,2,1703000
250,12,11,0,2,2,3352000
103,4,8,1,0,1,1311000
253,12,11,1,2,1,3148000
42,1,2,1,2,1,814000
131,6,8,0,0,2,1893000
251,12,11,0,1,3,4427000
134,6,7,1,2,3,3713000
216,10,1,0,1,1,2492000
259,12,8,1,1,2,3626000
236,11,8,1,1,2,3447000
93,4,5,0,0,2,1554000
112,5,8,1,1,2,2172000
48,1,10,0,0,2,1080000
160,7,3,1,1,2,2573000
41,1,12,0,1,2,1187000
123,5,12,0,2,2,2054000
246,11,3,1,0,1,2759000
106,4,5,0,1,3,2961000
56,2,7,0,1,3,2502000
54,2,6,0,1,1,692000
164,7,10,0,1,3,3533000
149,6,12,1,2,2,2446000
109,4,2,1,0,3,3038000
77,3,3,1,2,1,1252000
213,10,5,0,0,1,2217000
253,12,7,1,1,1,2959000
162,7,2,1,1,1,1952000
253,12,5,0,2,1,2734000
163,7,7,0,0,1,1578000
248,11,6,0,2,2,3252000
154,7,3,0,1,3,3605000
185,8,9,0,1,2,2621000
247,11,11,0,0,3,4326000
144,6,12,1,1,3,3694000
209,9,4,1,0,1,2267000
222,10,8,1,1,3,4329000
247,11,2,0,0,2,3071000
133,6,6,0,0,1,1397000
193,9,8,1,2,2,3025000
84,3,2,0,2,3,2885000
225,10,7,0,2,2,3087000
170,8,7,1,0,1,2034000
59,2,4,0,2,3,2610000
161,7,11,1,1,1,1976000
224,10,9,1,0,2,3129000
258,12,7,0,1,1,2691000
200,9,11,1,1,2,2966000
242,11,3,1,1,3,4488000
64,2,5,0,0,3,2406000
110,5,6,0,2,2,1999000
141,6,6,0,0,2,1989000
226,10,8,0,2,3,4300000
253,12,6,0,2,2,3293000
173,8,1,0,0,2,2561000
151,7,7,1,2,1,1880000
54,2,6,0,1,1,758000
242,11,1,0,1,3,4531000
134,6,8,0,1,3,3322000
82,3,5,1,2,2,1914000
224,10,12,1,0,1,2442000
113,5,3,1,2,3,3337000
199,9,1,0,1,3,4045000
221,10,6,0,2,3,4351000
218,10,4,1,0,2,3001000
186,8,11,0,0,3,3654000
196,9,2,0,0,3,3959000
242,11,9,0,1,2,3208000
75,3,11,1,2,3,2987000
56,2,10,0,0,3,2482000
197,9,3,1,2,2,3114000
194,9,6,0,1,3,3861000
208,9,4,0,1,2,2762000
189,8,8,0,0,1,1941000
132,6,5,1,1,2,2392000
135,6,5,1,2,3,3653000
134,6,3,0,0,1,1629000
243,11,10,0,2,2,3220000
97,4,3,1,1,3,3190000
60,2,3,1,1,2,1628000
115,5,7,0,2,2,2050000
184,8,10,1,2,3,4137000
122,5,6,1,1,2,2250000
144,6,1,0,0,3,3354000
108,4,1,1,2,2,2010000
189,8,4,0,0,3,3618000
234,11,5,1,1,2,3356000
259,12,9,0,0,1,2641000
163,7,5,0,2,3,3755000
239,11,10,0,1,1,2446000
103,4,12,0,0,1,1097000
165,7,7,0,1,1,1783000
135,6,10,0,1,1,1553000
179,8,5,0,0,3,3678000
43,1,5,0,2,3,2401000
137,6,3,0,1,2,2183000
168,7,2,1,1,3,3756000
78,3,10,1,2,2,1790000
172,8,7,1,1,1,2104000
173,8,9,0,2,3,3784000
209,9,1,0,1,3,4059000
258,12,4,1,1,2,3569000
116,5,10,0,2,1,1448000
196,9,2,0,2,2,2947000
165,7,8,0,2,2,2511000
93,4,12,1,1,2,1917000
169,7,1,0,0,1,1774000
195,9,2,1,1,2,2909000
259,12,4,1,2,1,3138000
206,9,10,0,0,2,2633000
142,6,12,1,2,2,2467000
126,5,12,1,1,3,3333000
239,11,5,1,1,2,3357000
109,4,7,0,1,1,1147000
158,7,10,1,0,1,1820000
217,10,8,1,1,2,3214000
178,8,12,0,0,3,3580000
141,6,12,1,2,2,2524000
165,7,12,0,0,1,1712000
55,2,6,0,2,2,1424000
146,6,5,1,2,1,1820000
116,5,3,1,1,1,1466000
173,8,4,1,0,3,3693000
121,5,3,0,0,2,1945000
74,3,8,0,1,1,939000
254,12,4,1,1,1,2995000
236,11,9,0,1,1,2525000
81,3,9,1,2,3,3010000
113,5,8,0,1,2,1862000
165,7,5,0,0,3,3383000
257,12,4,0,1,2,3226000
63,2,3,0,1,2,1457000
62,2,10,0,0,1,591000
82,3,6,1,2,3,2951000
248,11,4,0,2,1,2591000
87,3,10,0,0,2,1420000
177,8,1,1,1,3,3867000
70,3,8,0,1,2,1449000
102,4,7,0,2,2,1891000
210,10,9,0,1,3,4174000
197,9,6,1,0,3,4027000
128,5,1,1,1,1,1638000
180,8,5,0,1,2,2596000
223,10,4,0,2,2,3019000
74,3,6,1,2,3,2975000
183,8,10,0,0,2,2442000
61,2,8,0,1,2,1372000
134,6,2,0,2,1,1708000
104,4,2,0,1,3,2972000
212,10,7,1,2,1,2659000
227,10,2,0,1,3,4286000
180,8,9,1,0,1,1982000
92,4,2,0,0,1,1085000
135,6,10,0,2,3,3380000
55,2,9,1,0,2,1485000
88,3,12,0,1,3,2707000
252,12,6,1,0,2,3513000
223,10,10,1,1,1,2563000
191,9,3,1,0,3,4008000
77,3,6,1,1,1,1216000
79,3,2,1,2,2,1866000
190,9,9,0,0,1,1888000
150,7,12,0,1,2,2207000
167,7,6,1,1,3,3754000
49,1,2,1,0,3,2437000
243,11,3,0,2,2,3440000
213,10,7,0,1,2,2859000
252,12,9,1,0,2,3400000
121,5,12,0,0,1,1244000
84,3,9,0,1,1,923000
159,7,7,1,0,3,3696000
78,3,10,1,2,3,3101000
180,8,1,1,0,3,3928000
147,6,2,1,0,1,1681000
190,9,8,0,1,3,3897000
238,11,5,1,1,3,4613000
139,6,11,1,0,2,2267000
191,9,8,0,0,1,1914000
92,4,5,0,1,3,2864000
66,2,11,0,1,2,1339000
199,9,12,0,0,2,2592000
166,7,6,1,1,2,2602000
178,8,1,0,0,1,1958000
159,7,12,0,2,2,2422000
140,6,4,0,2,1,1563000
229,10,9,1,2,2,3344000
155,7,4,0,2,1,1767000
127,5,2,1,0,3,3311000
191,9,4,1,0,1,2156000
173,8,7,1,0,2,2595000
128,5,1,1,1,1,1624000
174,8,8,0,1,3,3685000
207,9,2,0,1,2,2891000
234,11,12,1,1,3,4545000
75,3,10,1,2,3,3016000
166,7,3,0,0,2,2360000
218,10,3,0,0,3,4169000
128,5,9,1,0,2,2108000
91,4,4,0,1,1,968000
98,4,1,0,2,3,3045000
252,12,8,1,1,3,4707000
193,9,5,0,1,1,1986000
121,5,8,0,2,2,2093000
64,2,4,1,1,3,2772000
185,8,2,1,2,2,2950000
103,4,6,0,1,3,2925000
244,11,6,0,1,2,3159000
113,5,9,1,0,1,1416000
99,4,1,1,1,2,1943000
228,10,9,1,0,2,3194000
207,9,6,0,0,2,2704000
260,12,1,0,2,2,3523000
230,11,10,1,2,1,2908000
120,5,5,0,2,1,1378000
79,3,7,0,2,2,1714000
114,5,1,0,1,2,2053000
184,8,11,1,1,1,2205000
83,3,1,1,2,1,1247000
103,4,5,1,0,1,1243000
194,9,11,0,0,3,3846000
176,8,8,1,1,3,3979000
176,8,1,0,1,2,2613000
135,6,12,1,2,1,1828000
203,9,1,1,1,3,4175000
149,6,12,0,2,2,2193000
41,1,6,0,1,2,1092000
159,7,11,0,0,1,1540000
136,6,12,1,1,2,2349000
58,2,1,0,2,2,1487000
214,10,10,1,0,1,2398000
103,4,11,0,1,3,2971000
49,1,9,0,1,1,586000
176,8,4,0,1,2,2429000
229,10,1,0,2,1,2556000
88,3,10,0,1,3,2744000
221,10,11,0,1,3,4110000
110,5,5,0,2,3,3070000
234,11,1,1,0,2,3160000
176,8,5,0,1,1,1844000
63,2,4,0,2,2,1522000
214,10,3,1,0,1,2393000
153,7,5,1,2,2,2659000
57,2,9,0,0,3,2402000
97,4,5,0,0,3,2824000
80,3,2,1,0,1,1044000
148,6,9,1,0,3,3483000
168,7,3,0,2,3,3762000
208,9,4,0,1,3,3870000
253,12,11,0,0,3,4310000
217,10,8,1,2,3,4448000
114,5,4,1,1,3,3259000
53,2,3,1,0,3,2665000
167,7,8,1,1,1,2095000
206,9,9,1,1,2,3031000
212,10,10,1,0,2,3131000
179,8,11,1,0,3,3827000
102,4,9,0,1,2,1679000
111,5,4,1,2,2,2218000
193,9,1,0,0,1,2101000
74,3,11,1,0,2,1685000
103,4,12,0,0,2,1652000
215,10,5,1,2,3,4433000
223,10,12,0,2,2,3115000
54,2,11,1,1,1,956000
144,6,8,0,1,2,2191000
74,3,9,1,0,1,1019000
105,4,8,1,1,1,1477000
238,11,8,0,1,2,3145000
54,2,2,0,1,1,908000
170,8,8,1,1,3,3937000
57,2,9,1,2,2,1734000
230,11,3,0,0,2,3105000
74,3,6,0,2,2,1510000
137,6,12,0,2,3,3488000
143,6,10,1,2,2,2540000
164,7,9,0,2,2,2464000
161,7,4,1,1,1,2014000
48,1,5,0,2,2,1302000
177,8,6,1,0,2,2683000
70,3,7,1,2,2,1874000
46,1,3,1,1,1,836000
168,7,2,0,2,3,3782000
115,5,1,0,0,2,1862000
121,5,11,1,2,1,1729000
66,2,9,0,2,3,2583000
225,10,12,0,1,3,4189000
194,9,6,1,2,2,3081000
240,11,4,1,1,1,2757000
175,8,11,0,0,3,3749000
236,11,9,1,1,2,3388000
257,12,4,1,1,1,2987000
217,10,12,1,0,2,3088000
197,9,8,1,2,1,2417000
215,10,10,0,1,2,2951000
119,5,6,1,1,1,1613000
205,9,8,1,1,1,2357000
73,3,3,1,0,1,1021000
115,5,2,1,0,1,1363000
45,1,6,0,1,1,479000
219,10,7,1,2,2,3159000
143,6,12,1,0,3,3525000
54,2,9,1,2,1,1023000
218,10,1,1,0,2,3072000
125,5,1,0,0,1,1406000
73,3,7,1,2,1,1279000
186,8,3,1,2,3,4023000
141,6,6,0,1,2,2195000
203,9,7,0,2,2,2856000
183,8,6,0,2,2,2693000
174,8,3,0,1,3,3737000
199,9,10,1,0,1,2311000
256,12,1,1,1,2,3410000
120,5,5,0,2,1,1436000
75,3,8,0,1,3,2700000
217,10,3,0,1,3,4173000
144,6,5,0,2,1,1712000
126,5,11,1,1,3,3377000
103,4,9,1,1,1,1463000
76,3,4,1,0,2,1636000
189,8,11,1,0,1,2204000
196,9,9,0,2,2,2811000
135,6,10,0,2,2,2343000
153,7,4,1,0,3,3566000
208,9,6,1,0,2,2933000
180,8,10,0,1,3,3821000
46,1,5,1,0,1,786000
136,6,8,1,0,2,2260000
226,10,8,1,0,3,4291000
93,4,5,0,2,1,1235000
178,8,2,1,0,3,3791000
149,6,11,1,0,1,1653000
161,7,10,1,2,1,2189000
80,3,7,0,1,3,2714000
68,2,3,1,1,1,957000
250,12,7,0,2,3,4665000
193,9,1,1,2,1,2427000
110,5,11,0,0,1,1267000
100,4,8,0,1,2,1678000
88,3,2,1,2,1,1258000
156,7,3,0,2,3,3666000
80,3,11,1,1,1,1203000
140,6,7,0,1,3,3264000
142,6,12,0,0,3,3300000
205,9,2,1,0,1,2242000
133,6,7,0,1,1,1478000
139,6,5,1,0,2,2322000
76,3,10,1,0,3,2839000
68,2,7,1,1,2,1619000
92,4,6,1,1,2,1923000
223,10,5,0,0,3,4100000
43,1,5,1,2,1,891000
190,9,2,1,2,3,4147000
149,6,9,1,1,2,2413000
78,3,1,1,2,3,3029000
143,6,4,0,2,2,2208000
61,2,2,1,1,2,1533000
237,11,6,1,0,1,2747000
192,9,5,1,2,3,4255000
152,7,1,1,2,2,2597000
57,2,2,1,0,1,808000
61,2,2,0,0,1,694000
173,8,8,1,2,3,4010000
75,3,8,0,2,3,2729000
70,3,5,0,2,2,1617000
134,6,1,1,1,3,3553000
259,12,12,0,0,1,2684000
226,10,2,0,2,1,2690000
184,8,5,0,0,1,1868000
245,11,3,1,0,1,2711000
57,2,9,1,2,3,2888000
221,10,12,0,1,3,4195000
168,7,7,0,0,1,1622000
61,2,5,0,0,1,574000
75,3,1,1,2,2,1802000
146,6,8,1,1,1,1767000
186,8,6,1,1,1,2274000
231,11,2,0,1,3,4483000
153,7,11,1,0,1,1886000
251,12,5,1,1,1,2955000
223,10,2,0,1,3,4166000
170,8,9,0,0,2,2435000
53,2,1,1,1,2,1532000
201,9,7,1,2,1,2495000
214,10,12,0,0,2,2781000
213,10,6,0,2,2,2961000
102,4,10,1,2,3,3314000
146,6,4,0,1,3,3305000
72,3,2,1,2,2,1835000
170,8,7,0,1,1,1812000
165,7,7,1,2,2,2714000
152,7,7,0,2,2,2343000
130,6,10,1,1,2,2417000
171,8,5,1,2,3,4045000
198,9,3,0,2,3,4134000
184,8,9,1,1,1,2174000
105,4,11,1,1,1,1295000
230,11,11,1,1,3,4599000
68,2,12,0,0,2,1182000
130,6,2,0,1,2,2250000
60,2,5,0,2,2,1336000
52,2,9,0,2,2,1414000
211,10,3,1,2,2,3135000
101,4,7,0,1,1,1114000
189,8,12,1,2,2,2927000
256,12,4,0,0,3,4432000
175,8,5,1,0,1,2075000
171,8,8,0,0,3,3551000
132,6,2,0,0,2,2092000
141,6,5,0,1,2,2007000
53,2,9,1,2,2,1692000
151,7,1,0,2,3,3743000
92,4,9,0,2,3,2991000
258,12,6,0,0,1,2658000
126,5,4,1,0,3,3352000
170,8,11,1,2,3,4019000
184,8,5,1,2,1,2328000
125,5,12,0,1,1,1391000
108,4,8,1,1,2,1955000
244,11,12,0,1,1,2457000
84,3,7,0,1,3,2762000
152,7,4,1,2,3,3790000
181,8,1,0,0,2,2619000
216,10,1,0,2,3,4285000
95,4,12,1,2,1,1521000
125,5,11,0,1,1,1330000
173,8,5,0,0,3,3614000
181,8,1,0,0,3,3823000
111,5,4,1,2,1,1573000
219,10,7,1,2,3,4468000
135,6,1,0,0,2,2079000
191,9,8,0,0,2,2482000
112,5,6,1,2,1,1624000
193,9,7,1,2,1,2339000
151,7,1,0,0,2,2321000
166,7,9,1,1,2,2614000
97,4,3,1,2,2,2032000
74,3,2,1,2,3,2993000
124,5,11,1,1,3,3385000
202,9,10,0,0,1,2026000
143,6,2,1,1,1,1819000
232,11,11,1,1,2,3271000
162,7,4,0,2,3,3649000
181,8,9,1,2,3,4105000
98,4,6,1,1,2,1990000
139,6,9,0,2,3,3345000
180,8,5,0,1,1,1937000
160,7,11,0,2,2,2409000
148,6,5,1,1,1,1869000
111,5,10,1,1,1,1588000
244,11,9,0,2,2,3266000
241,11,9,1,0,3,4435000
231,11,5,0,2,1,2635000
57,2,6,0,2,3,2631000
194,9,11,1,0,3,4064000
154,7,12,0,1,3,3421000
94,4,10,1,2,3,3311000
102,4,6,0,0,3,2810000
228,10,2,0,1,3,4316000
101,4,9,0,0,3,2914000
40,1,2,0,1,3,2508000
160,7,9,1,0,3,3641000
123,5,11,0,0,2,1835000
78,3,9,0,1,1,918000
133,6,8,0,0,3,3259000
239,11,5,0,0,1,2454000
178,8,3,1,1,1,2065000
93,4,4,1,1,1,1265000
186,8,4,0,1,1,1978000
214,10,2,0,1,3,4222000
48,1,5,1,1,1,768000
173,8,3,1,1,2,2739000
70,3,6,1,1,2,1711000
233,11,11,0,0,2,2931000
81,3,7,0,0,3,2668000
150,7,5,0,1,1,1689000
233,11,10,1,2,1,2829000
179,8,9,0,2,1,2002000
142,6,9,0,1,3,3333000
211,10,3,1,0,1,2467000
53,2,4,0,1,2,1228000
69,2,11,0,2,3,2653000
236,11,11,1,0,1,2589000
255,12,11,0,0,3,4473000
225,10,10,1,0,3,4384000
96,4,2,1,0,1,1296000
184,8,10,0,0,3,3688000
56,2,3,0,2,2,1625000
227,10,7,0,0,1,2241000
226,10,7,1,0,3,4240000
191,9,2,1,1,3,4120000
83,3,9,1,1,1,1243000
171,8,4,1,0,1,2014000
176,8,11,1,1,2,2690000
64,2,8,0,1,1,735000
234,11,1,1,2,3,4585000
108,4,8,1,2,3,3321000
150,7,7,0,1,2,2282000
59,2,10,0,2,3,2568000
227,10,9,1,0,2,3140000
236,11,2,1,2,1,2835000
244,11,8,1,1,2,3438000
159,7,1,0,2,2,2626000
193,9,9,1,1,3,4106000
216,10,7,0,0,1,2182000
144,6,3,0,2,1,1710000
207,9,5,1,1,2,2981000
